id,calories,proteins,fat,carbohydrate,name,kategori,protein_density,fat_ratio,pct_cal_from_fat,pct_cal_from_protein,pct_cal_from_carb,risiko_kolesterol,is_recommended
931,196.0,14.5,8.3,15.9,Nasu Likku Masakan,Sedang,0.0736,0.0421,37.92,29.44,32.28,1,1
932,600.0,14.0,41.7,42.0,Noga Kacang Tanah,Tinggi Lemak,0.0233,0.0694,62.45,9.32,27.95,2,0
933,387.0,5.3,7.6,74.3,Nopia Spesial,Sedang,0.0137,0.0196,17.63,5.46,76.6,0,0
934,9.0,2.1,6.0,7.1,Olah-Olah,Sedang,0.21,0.6,540.0,84.0,284.0,0,0
935,187.0,13.0,6.0,22.6,Oncom,Sedang,0.0691,0.0319,28.72,27.66,48.09,0,1
936,376.0,14.9,6.0,65.7,Oncom Ampas Kacang Hijau,Sedang,0.0395,0.0159,14.32,15.81,69.71,0,0
937,363.3,19.3,19.3,40.3,Oncom Goreng,Tinggi Protein & Lemak,0.053,0.053,47.68,21.19,44.25,2,0
938,284.0,12.0,14.4,13.6,Oncom Hitam Goreng,Sedang,0.0421,0.0505,45.47,16.84,19.09,1,0
939,306.7,9.0,18.0,27.0,Oncom Hitam Goreng Bertepung,Tinggi Lemak,0.0292,0.0585,52.65,11.7,35.1,2,0
940,351.0,11.0,5.3,65.9,Oncom Kacang Hijau + Singkong,Sedang,0.0312,0.0151,13.55,12.5,74.89,0,0
941,132.0,12.7,3.8,13.7,Oncom Kacang Tanah Pepes,Sedang,0.0955,0.0286,25.71,38.2,41.2,0,1
942,187.0,13.0,6.0,22.6,Oncom Kedele,Sedang,0.0691,0.0319,28.72,27.66,48.09,0,1
943,368.0,6.8,32.0,13.2,Oncom Merah Goreng,Tinggi Lemak,0.0184,0.0867,78.05,7.37,14.31,2,0
944,320.0,7.3,18.7,31.0,Oncom Merah Goreng Bertepung,Tinggi Lemak,0.0227,0.0583,52.43,9.1,38.63,2,0
945,40.0,2.0,2.0,3.0,Oncom Merah Sayur (Tumis),Rendah Lemak & Karbo,0.0488,0.0488,43.9,19.51,29.27,0,0
946,76.0,5.2,1.8,10.6,Oncom Pepes,Rendah Lemak & Karbo,0.0675,0.0234,21.04,27.01,55.06,0,1
947,288.6,8.3,8.9,44.3,Onde-Onde,Sedang,0.0287,0.0307,27.66,11.46,61.19,1,1
948,115.0,1.5,6.0,14.0,Ongol-Ongol,Sedang,0.0129,0.0517,46.55,5.17,48.28,0,0
949,111.0,0.3,2.7,21.2,Ongol-Ongol Sagu,Rendah Lemak,0.0027,0.0241,21.7,1.07,75.71,0,0
950,940.0,36.0,42.0,104.0,Opak Singkong,Tinggi Protein & Lemak,0.0383,0.0446,40.17,15.3,44.21,2,0
951,117.0,13.7,5.0,4.3,Oramu Ninahu Ndawa Olaho Masakan,Sedang,0.1161,0.0424,38.14,46.44,14.58,0,1
952,125.0,10.4,8.6,0.8,Otak,Sedang,0.0825,0.0683,61.43,33.02,2.54,1,1
953,351.0,0.9,0.9,84.9,Oyek,Rendah Lemak,0.0026,0.0026,2.3,1.02,96.48,0,0
954,342.0,2.3,0.1,83.1,Oyek (Dari Singkong),Rendah Lemak,0.0067,0.0003,0.26,2.68,96.91,0,0
955,77.0,3.5,4.6,5.4,Paku Hinela Wulelenggapaya,Sedang,0.0449,0.059,53.08,17.95,27.69,0,0
956,494.0,7.5,36.4,40.1,Pala Biji,Tinggi Lemak,0.0152,0.0735,66.18,6.06,32.4,2,0
957,42.0,0.3,0.2,10.9,Pala Daging,Rendah Lemak & Karbo,0.007,0.0047,4.19,2.79,101.4,0,0
958,460.0,28.5,35.2,7.2,Paniki Masak Santan Masakan,Tinggi Protein & Lemak,0.0618,0.0764,68.72,24.73,6.25,2,0
959,133.8,3.0,1.6,27.0,Papais,Rendah Lemak,0.0223,0.0119,10.68,8.9,80.12,0,0
960,61.0,0.2,0.1,14.9,Papeda,Rendah Lemak & Karbo,0.0032,0.0016,1.45,1.29,96.13,0,0
961,87.0,10.5,2.5,5.5,Parede Baleh Masakan,"Tinggi Protein, Rendah Lemak",0.1193,0.0284,25.57,47.73,25.0,0,1
962,29.0,1.1,0.3,6.6,Paria (Pare),Rendah Lemak & Karbo,0.0367,0.01,9.0,14.67,88.0,0,0
963,16.0,0.8,0.2,3.4,Paria Putih Kukus,Rendah Lemak & Karbo,0.0471,0.0118,10.59,18.82,80.0,0,0
964,19.0,1.0,0.4,3.6,Paria Putih Segar,Rendah Lemak & Karbo,0.05,0.02,18.0,20.0,72.0,0,0
965,307.0,4.5,13.3,42.4,Pastel,Sedang,0.0146,0.0432,38.86,5.84,55.06,1,0
966,362.0,0.5,0.3,86.9,Pati Singkong (Tapioka),Rendah Lemak,0.0014,0.0008,0.74,0.55,95.76,0,0
967,23.0,1.8,0.3,4.5,Pe-Cay,Rendah Lemak & Karbo,0.075,0.0125,11.25,30.0,75.0,0,0
968,156.0,28.0,4.0,0.0,Peda Ikan Banjar,Sedang,0.1783,0.0255,22.93,71.34,0.0,0,1
969,75.0,2.5,2.8,10.0,Pelecing Kangkung,Rendah Lemak & Karbo,0.0329,0.0368,33.16,13.16,52.63,0,0
970,219.0,19.7,13.6,4.4,Pelepah Manuk Masakan,Sedang,0.0895,0.0618,55.64,35.82,8.0,1,0
971,162.0,4.9,3.0,27.8,Pempek Adaan,Rendah Lemak,0.0301,0.0184,16.56,12.02,68.22,0,0
972,156.0,4.2,1.4,31.6,Pempek Belida,Rendah Lemak,0.0268,0.0089,8.03,10.7,80.51,0,0
973,152.0,4.5,2.3,28.2,Pempek Kapal Selam,Rendah Lemak,0.0294,0.015,13.53,11.76,73.73,0,0
974,211.0,12.3,6.1,26.6,Pempek Kelesan,Sedang,0.058,0.0288,25.9,23.21,50.19,0,1
975,243.0,5.2,7.3,39.1,Pempek Kulit,Sedang,0.0213,0.0299,26.93,8.52,64.1,0,1
976,173.0,7.2,1.2,33.4,Pempek Tenggiri,Rendah Lemak,0.0414,0.0069,6.21,16.55,76.78,0,1
977,372.0,7.8,36.3,3.5,Pencok Lele Masakan,Tinggi Lemak,0.0209,0.0973,87.59,8.36,3.75,2,0
978,174.0,13.1,12.2,2.2,Penyu Serapah Masakan,Sedang,0.0749,0.0697,62.74,29.94,5.03,1,0
